POLICY_NO,PRODUCT,Claim_Status
A-2007073196522,TRAVEL,No
A-2007080402998,TRAVEL,No
A-2007081314381,TRAVEL,No
A-2007082123389,TRAVEL,No
A-2007082123394,TRAVEL,No
A-2007083135582,TRAVEL,No
A-2007090540083,TRAVEL,No
A-2007090540188,TRAVEL,No
A-2007090540273,TRAVEL,No
A-2007090540347,TRAVEL,No
A-2007090540880,TRAVEL,No
A-2007091348784,TRAVEL,Yes
A-2007091348862,TRAVEL,No
A-2007091752068,TRAVEL,No
A-2007091954724,TRAVEL,No
A-2007091954838,TRAVEL,No
A-2007092055832,TRAVEL,No
A-2007092864365,TRAVEL,No
A-2007092864386,TRAVEL,No
A-2007100469681,TRAVEL,No
A-2007100469711,TRAVEL,No
A-2007100469809,TRAVEL,No
A-2007100469862,TRAVEL,No
A-2007100469872,TRAVEL,No
A-2007100872484,TRAVEL,No
A-2007100973843,TRAVEL,No
A-2007101277863,TRAVEL,No
A-2007101680769,TRAVEL,No
A-2007101782293,TRAVEL,No
A-2007101883190,TRAVEL,No
A-2007101983495,TRAVEL,No
A-2007102386788,TRAVEL,No
A-2007102589422,TRAVEL,No
A-2007110600004,TRAVEL,No
A-2007110600138,TRAVEL,No
A-2007110700911,TRAVEL,No
A-2007111407356,TRAVEL,No
A-2007111407412,TRAVEL,No
A-2007111407415,TRAVEL,No
A-2007111407435,TRAVEL,No
A-2007111407563,TRAVEL,No
A-2007111407711,TRAVEL,No
A-2007112717937,TRAVEL,No
A-2007120123150,TRAVEL,No
A-2007120123221,TRAVEL,No
A-2007120123235,TRAVEL,No
A-2007120123263,TRAVEL,No
A-2007120123272,TRAVEL,No
A-2007120324054,TRAVEL,No
A-2007120324093,TRAVEL,No
A-2007120324110,TRAVEL,No
A-2007120324175,TRAVEL,No
A-2007120324455,TRAVEL,No
A-2007120324493,TRAVEL,No
A-2007120324515,TRAVEL,No
A-2007120324522,TRAVEL,No
A-2007120324551,TRAVEL,No
A-2007120324565,TRAVEL,Yes
A-2007120324567,TRAVEL,No
A-2007120324572,TRAVEL,No
A-2007120324573,TRAVEL,No
A-2007120324581,TRAVEL,No
A-2007120324678,TRAVEL,No
A-2007120324733,TRAVEL,No
A-2007120324749,TRAVEL,No
A-2007120324779,TRAVEL,No
A-2007120324794,TRAVEL,No
A-2007120425336,TRAVEL,No
A-2007120425437,TRAVEL,No
A-2007120425440,TRAVEL,No
A-2007120425547,TRAVEL,No
A-2007120425695,TRAVEL,No
A-2007120425751,TRAVEL,No
A-2007120425797,TRAVEL,No
A-2007120425891,TRAVEL,No
A-2007120425899,TRAVEL,No
A-2007120425908,TRAVEL,No
A-2007120425927,TRAVEL,No
A-2007120426010,TRAVEL,No
A-2007120426021,TRAVEL,No
A-2007120426043,TRAVEL,No
A-2007120426062,TRAVEL,No
A-2007120426075,TRAVEL,No
A-2007120426081,TRAVEL,No
A-2007120426087,TRAVEL,No
A-2007120426130,TRAVEL,No
A-2007120426139,TRAVEL,No
A-2007120426187,TRAVEL,No
A-2007120729700,TRAVEL,Yes
A-2007121233585,TRAVEL,No
A-2007121335404,TRAVEL,No
A-2007121335426,TRAVEL,No
A-2007121335568,TRAVEL,No
A-2007121537333,TRAVEL,No
A-2007121737967,TRAVEL,No
A-2007121738380,TRAVEL,No
A-2007122242240,TRAVEL,No
A-2007122242245,TRAVEL,No
A-2007122242254,TRAVEL,No
A-2007122845592,TRAVEL,No
A-2007123146880,TRAVEL,No
A-2008011454716,TRAVEL,No
A-2008011454729,TRAVEL,No
A-2008011454842,TRAVEL,No
A-2008012258247,TRAVEL,No
A-2008012559714,TRAVEL,No
A-2008012559782,TRAVEL,No
A-2008012559879,TRAVEL,No
A-2008012559903,TRAVEL,No
A-2008012960937,TRAVEL,No
A-2008020563266,TRAVEL,No
A-2008021466230,TRAVEL,No
A-2008022871111,TRAVEL,No
A-2008032794821,TRAVEL,No
A-2008032794915,TRAVEL,No
A-2008032794924,TRAVEL,No
A-2008041207923,TRAVEL,No
A-2008041308440,TRAVEL,No
A-2008041308452,TRAVEL,No
A-2008041611793,TRAVEL,No
A-2008042114706,TRAVEL,No
A-2008042114716,TRAVEL,No
A-2008042114732,TRAVEL,No
A-2008042115508,TRAVEL,No
A-2008042923217,TRAVEL,No
A-2008042923266,TRAVEL,No
A-2008042923289,TRAVEL,No
A-2008042923302,TRAVEL,Yes
A-2008043024562,TRAVEL,No
A-2008043024802,TRAVEL,No
A-2008050327213,TRAVEL,No
A-2008050327307,TRAVEL,No
A-2008050527955,TRAVEL,No
A-2008050629400,TRAVEL,No
A-2008050832315,TRAVEL,No
A-2008050832384,TRAVEL,No
A-2008051034870,TRAVEL,No
A-2008051436623,TRAVEL,No
A-2008051538803,TRAVEL,No
A-2008051740220,TRAVEL,No
A-2008051740338,TRAVEL,No
A-2008051740339,TRAVEL,No
A-2008052344672,TRAVEL,No
A-2008060251652,TRAVEL,No
A-2008060251678,TRAVEL,No
A-2008060553984,TRAVEL,No
A-2008060554030,TRAVEL,No
A-2008060654584,TRAVEL,No
A-2008061259123,TRAVEL,No
A-2008071078042,TRAVEL,No
A-2008071580653,TRAVEL,No
A-2008072587626,TRAVEL,No
A-2008081197870,TRAVEL,No
A-2008082506834,TRAVEL,No
A-2008082607824,TRAVEL,No
A-2008082607897,TRAVEL,No
A-2008082607921,TRAVEL,No
A-2008082608373,TRAVEL,No
A-2008082709428,TRAVEL,No
A-2008082709508,TRAVEL,No
A-2008082709527,TRAVEL,No
A-2008082709536,TRAVEL,No
A-2008082709551,TRAVEL,No
A-2008082709568,TRAVEL,No
A-2008082709581,TRAVEL,No
A-2008082709597,TRAVEL,No
A-2008082709609,TRAVEL,No
A-2008082709689,TRAVEL,No
A-2008082709694,TRAVEL,No
A-2008082709726,TRAVEL,No
A-2008082709748,TRAVEL,No
A-2008082709816,TRAVEL,No
A-2008082709824,TRAVEL,No
A-2008082810389,TRAVEL,No
F-2007061242836,TRAVEL,No
F-2007072184342,TRAVEL,No
F-2007080807237,TRAVEL,No
F-2007081010793,TRAVEL,No
F-2007081313922,TRAVEL,No
F-2007082427227,TRAVEL,No
F-2007090337885,TRAVEL,No
F-2007090541266,TRAVEL,No
F-2007091247333,TRAVEL,No
F-2007091247513,TRAVEL,No
F-2007091248143,TRAVEL,No
F-2007092258733,TRAVEL,No
F-2007092661981,TRAVEL,No
F-2007100368475,TRAVEL,No
F-2007101176040,TRAVEL,No
F-2007102084591,TRAVEL,No
F-2007102285388,TRAVEL,No
F-2007102386587,TRAVEL,No
F-2007102689875,TRAVEL,No
F-2007110297004,TRAVEL,No
F-2007110397703,TRAVEL,No
F-2007110598689,TRAVEL,No
F-2007110598714,TRAVEL,No
F-2007110598717,TRAVEL,No
F-2007110598942,TRAVEL,No
F-2007110699929,TRAVEL,No
F-2007110701939,TRAVEL,No
F-2007110802074,TRAVEL,No
F-2007110802205,TRAVEL,No
F-2007111406931,TRAVEL,No
F-2007111407261,TRAVEL,No
F-2007111810085,TRAVEL,No
F-2007112112711,TRAVEL,No
F-2007112819327,TRAVEL,No
F-2007120123224,TRAVEL,No
F-2007120323656,TRAVEL,No
F-2007120627970,TRAVEL,No
F-2007121132864,TRAVEL,No
F-2007121334679,TRAVEL,No
F-2007121335640,TRAVEL,No
F-2007122644221,TRAVEL,No
F-2007122845652,TRAVEL,No
F-2008010751177,TRAVEL,No
F-2008020162300,TRAVEL,No
F-2008020864786,TRAVEL,No
F-2008021867362,TRAVEL,No
F-2008022770453,TRAVEL,No
F-2008030676001,TRAVEL,Yes
F-2008031180765,TRAVEL,No
F-2008031282007,TRAVEL,No
F-2008031282429,TRAVEL,No
F-2008031383015,TRAVEL,No
F-2008031585163,TRAVEL,No
F-2008031887359,TRAVEL,No
F-2008031988725,TRAVEL,No
F-2008032290418,TRAVEL,No
F-2008032693547,TRAVEL,No
F-2008032795124,TRAVEL,No
F-2008033197082,TRAVEL,No
F-2008040502186,TRAVEL,No
F-2008040502669,TRAVEL,No
F-2008041107476,TRAVEL,No
F-2008041207848,TRAVEL,No
F-2008041208124,TRAVEL,No
F-2008041308444,TRAVEL,No
F-2008041914130,TRAVEL,No
F-2008041914204,TRAVEL,No
F-2008042215884,TRAVEL,No
F-2008042216543,TRAVEL,No
F-2008042216669,TRAVEL,No
F-2008042216760,TRAVEL,No
F-2008042317504,TRAVEL,No
F-2008042418905,TRAVEL,No
F-2008042621053,TRAVEL,No
F-2008042721756,TRAVEL,No
F-2008042721770,TRAVEL,No
F-2008042721784,TRAVEL,No
F-2008042721791,TRAVEL,No
F-2008042821808,TRAVEL,No
F-2008042822457,TRAVEL,No
F-2008043024805,TRAVEL,No
F-2008050125473,TRAVEL,No
F-2008050226246,TRAVEL,No
F-2008050226383,TRAVEL,No
F-2008050326657,TRAVEL,No
F-2008050327762,TRAVEL,No
F-2008050629686,TRAVEL,No
F-2008050832754,TRAVEL,No
F-2008050934345,TRAVEL,No
F-2008051034440,TRAVEL,No
F-2008051034798,TRAVEL,No
F-2008051035054,TRAVEL,Yes
F-2008051035246,TRAVEL,No
F-2008051135308,TRAVEL,No
F-2008051135319,TRAVEL,No
F-2008051436735,TRAVEL,No
F-2008051437252,TRAVEL,No
F-2008051740472,TRAVEL,No
F-2008051940607,TRAVEL,No
F-2008051940661,TRAVEL,No
F-2008051940732,TRAVEL,No
F-2008051941141,TRAVEL,No
F-2008052042139,TRAVEL,No
F-2008052142470,TRAVEL,No
F-2008052142507,TRAVEL,No
F-2008052243337,TRAVEL,No
F-2008052343973,TRAVEL,No
F-2008052344329,TRAVEL,No
F-2008052344348,TRAVEL,No
F-2008052344378,TRAVEL,No
F-2008052344403,TRAVEL,No
F-2008052344593,TRAVEL,No
F-2008052445629,TRAVEL,No
F-2008052646052,TRAVEL,No
