POLICY_NO,PRODUCT,BRANCH_NAME,REGION,ZONE_NAME,Plan,Sum_Assured,Premium,Sub_Plan,Vintage_Period
A-2007073196522,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,30000,525,Silver,14
A-2007080402998,TRAVEL,Anand,Gujarat II,North,Asia Silver Plan,30000,325,Silver,30
A-2007081314381,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1250000,300,Standard,4
A-2007082123389,TRAVEL,Baroda,Gujarat II,North,Asia Standard Plan,25000,300,Standard,30
A-2007082123394,TRAVEL,Baroda,Gujarat II,North,Asia Standard Plan,25000,300,Standard,30
A-2007083135582,TRAVEL,Bangalore II,Karnatka,South,Individual,50000,498,Standard,446
A-2007090540083,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,25000,364,Silver,5
A-2007090540188,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,25000,365,Silver,5
A-2007090540273,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,25000,364,Silver,8
A-2007090540347,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,25000,363,Silver,8
A-2007090540880,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,25000,363,Silver,8
A-2007091348784,TRAVEL,Thane,Mumbai II,South,Asia Standard Plan,25000,556,Standard,15
A-2007091348862,TRAVEL,Thane,Mumbai II,South,Asia Standard Plan,25000,556,Standard,15
A-2007091752068,TRAVEL,Surat,Gujarat II,North,Asia Silver Plan,30000,525,Silver,30
A-2007091954724,TRAVEL,Goa,ROM and Goa,South,Asia Silver Plan,30000,408,Silver,6
A-2007091954838,TRAVEL,Goa,ROM and Goa,South,Asia Silver Plan,30000,408,Silver,6
A-2007092055832,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1250000,379,Standard,7
A-2007092864365,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,100000,525,Silver,27
A-2007092864386,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,100000,525,Silver,27
A-2007100469681,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,25000,379,Standard,30
A-2007100469711,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,25000,380,Standard,30
A-2007100469809,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,25000,380,Standard,30
A-2007100469862,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,25000,379,Standard,8
A-2007100469872,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,25000,380,Standard,30
A-2007100872484,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,25000,492,Standard,14
A-2007100973843,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,50000,493,Standard,26
A-2007101277863,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,50000,631,Silver,27
A-2007101680769,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1250000,379,Standard,7
A-2007101782293,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,30000,325,Silver,4
A-2007101883190,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,493,Standard,9
A-2007101983495,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,50000,576,Silver,26
A-2007102386788,TRAVEL,Indore,MP And Chattishgarh,East,Asia Silver Plan,30000,566,Silver,8
A-2007102589422,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1250000,300,Standard,4
A-2007110600004,TRAVEL,Vapi,Gujarat II,North,Asia Silver Plan,30000,525,Silver,14
A-2007110600138,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,25000,492,Standard,8
A-2007110700911,TRAVEL,Hyderabad II,Andhra Pradesh I,South,Asia Silver Plan,300000,525,Silver,13
A-2007111407356,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,300,Standard,4
A-2007111407412,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,300,Standard,4
A-2007111407415,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,300,Standard,4
A-2007111407435,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,300,Standard,4
A-2007111407563,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,300,Standard,4
A-2007111407711,TRAVEL,Andheri,Mumbai II,South,Asia Standard Plan,1000000,379,Standard,5
A-2007112717937,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,493,Standard,11
A-2007120123150,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120123221,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,493,Standard,8
A-2007120123235,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,300,Standard,4
A-2007120123263,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120123272,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,300,Standard,4
A-2007120324054,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324093,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324110,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324175,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324455,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,458,Silver,7
A-2007120324493,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324515,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324522,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324551,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,458,Silver,7
A-2007120324565,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324567,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324572,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324573,TRAVEL,Kolkata I,West Bengal,East,Asia Silver Plan,1200000,407,Silver,7
A-2007120324581,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324678,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324733,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324749,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324779,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120324794,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120425336,TRAVEL,Cochin,Kerala,South,Asia Silver Plan,1200000,458,Silver,7
A-2007120425437,TRAVEL,Cochin,Kerala,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120425440,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120425547,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120425695,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Silver Plan,1200000,407,Silver,7
A-2007120425751,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120425797,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,325,Silver,4
A-2007120425891,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Silver Plan,1200000,407,Silver,7
A-2007120425899,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Silver Plan,1200000,458,Silver,7
A-2007120425908,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120425927,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,567,Silver,9
A-2007120426010,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Silver Plan,1200000,407,Silver,7
A-2007120426021,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120426043,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,525,Silver,9
A-2007120426062,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120426075,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120426081,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,525,Silver,8
A-2007120426087,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,5
A-2007120426130,TRAVEL,Chennai I,Tamilnadu,South,Asia Silver Plan,1200000,407,Silver,7
A-2007120426139,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,300,Standard,4
A-2007120426187,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,300,Standard,4
A-2007120729700,TRAVEL,Andheri,Mumbai II,South,Asia Silver Plan,1200000,576,Silver,21
A-2007121233585,TRAVEL,Dehradun,UP AND UTRANCHAL,North,Asia Silver Plan,1200000,567,Silver,13
A-2007121335404,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,7
A-2007121335426,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,7
A-2007121335568,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,379,Standard,5
A-2007121537333,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,300,Standard,4
A-2007121737967,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,493,Standard,14
A-2007121738380,TRAVEL,Nariman Point,Mumbai I,South,Asia Silver Plan,1200000,407,Silver,6
A-2007122242240,TRAVEL,Kolkata I,West Bengal,East,Asia Standard Plan,1000000,368,Standard,4
A-2007122242245,TRAVEL,Kolkata I,West Bengal,East,Asia Standard Plan,1000000,300,Standard,4
A-2007122242254,TRAVEL,Kolkata I,West Bengal,East,Asia Standard Plan,1000000,300,Standard,4
A-2007122845592,TRAVEL,Nariman Point,Mumbai I,South,Asia Silver Plan,1200000,525,Silver,10
A-2007123146880,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,525,Silver,14
A-2008011454716,TRAVEL,Amravati,ROM and Goa,South,Asia Silver Plan,30000,407,Silver,7
A-2008011454729,TRAVEL,Amravati,ROM and Goa,South,Asia Silver Plan,30000,407,Silver,7
A-2008011454842,TRAVEL,Amravati,ROM and Goa,South,Asia Silver Plan,30000,458,Silver,7
A-2008012258247,TRAVEL,Visakapatnam,Andhra Pradesh II,South,Asia Standard Plan,1000000,379,Standard,7
A-2008012559714,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,1200000,525,Silver,14
A-2008012559782,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,3
A-2008012559879,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,3
A-2008012559903,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,3
A-2008012960937,TRAVEL,Chinchwad,ROM and Goa,South,Asia Standard Plan,25000,380,Standard,6
A-2008020563266,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,7
A-2008021466230,TRAVEL,Nehru Place,Delhi I,North,Asia Standard Plan,1000000,493,Standard,14
A-2008022871111,TRAVEL,Nariman Point,Mumbai I,South,Asia Silver Plan,1200000,567,Silver,14
A-2008032794821,TRAVEL,Bangalore II,Karnatka,South,Asia Standard Plan,1000000,379,Standard,6
A-2008032794915,TRAVEL,Bangalore II,Karnatka,South,Asia Standard Plan,1000000,379,Standard,6
A-2008032794924,TRAVEL,Bangalore II,Karnatka,South,Asia Standard Plan,1000000,379,Standard,6
A-2008041207923,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,556,Standard,19
A-2008041308440,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,537,Standard,14
A-2008041308452,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,493,Standard,14
