"id","statement_full","statement_strip","statement_noise_p25","statement_noise_p50","statement_noise_p75","target","source","text_origin"
"1","Lẹyin ounjẹ, ounjẹ lokan. Emi lokan!","Leyin ounje, ounje lokan. Emi lokan!","Lẹyin ounje, ounjẹ lokan. Emi lokan!","Leyin ounjẹ, ounjẹ lokan. Emi lokan!","Lẹyin ounje, ounje lokan. Emi lokan!","sarcastic","X","original"
"2","A kò gbọ́dọ̀ purọ́, a kò gbọ́dọ̀ jale, Yorùbá dùn gan!","A ko gbodo puro, a ko gbodo jale, Yoruba dun gan!","A ko gbódo purọ́, a ko gbọ́dò jale, Yorùbá dun gan!","A kò gbodò purọ́, a kò gbọ́dò jale, Yorùbá dùn gan!","A ko gbodo puro, a ko gbodo jale, Yoruba dùn gan!","non-sarcastic","X","original"
"3","Kò sí bí o bá ṣe ń jìyà tó, má ṣe béèrè ìrànlọ́wọ́ lọ́wọ́ ẹnikẹ́ni. Bó tilẹ̀ jẹ́ pé o lè kú nígbà sórí ìjìyà náà, kò sí ẹni tí yóò lè sọ pé òun ti ràn ọ́ lọ́wọ́ rí","Ko si bi o ba se n jiya to, ma se beere iranlowo lowo enikeni. Bo tile je pe o le ku nigba sori ijiya naa, ko si eni ti yoo le so pe oun ti ran o lowo ri","Kò sí bi o bá se ń jìyà tó, má ṣe béere ìrànlówọ́ lọ́wọ́ ẹnikéni. Bó tilẹ̀ jẹ pé o lè ku nigba sórí ìjiyà náà, kò sí eni tí yóò lè sọ pe òun ti ràn ọ́ lọ́wó rí","Ko sí bí o ba ṣe ń jìyà to, ma se béèrè iranlọ́wo lówọ enikẹni. Bó tile jẹ́ pe o le kú nígba sóri ijiyà naa, ko sí eni tí yóo le sọ pe oun ti ràn ọ lọ́wo ri","Ko si bi o ba ṣe n jiya tó, ma se beere irànlówo lọ́wọ́ ẹnikeni. Bo tile jé pe o lè ku nigbà sóri ijiya náa, ko si eni ti yoò le sọ pe oun ti ran o lówo ri","sarcastic","Instagram","original"
"4","Àsàsí kìí ran baby. Ẹ wí fún aláwo yin tó ní ki ẹ mú orúkọ wá","Asasi kii ran baby. E wi fun alawo yin to ni ki e mu oruko wa","Àsàsí kìi ran baby. Ẹ wi fún aláwo yin tó ní ki ẹ mu orúkọ wá","Asasi kìí ran baby. Ẹ wi fun aláwo yin tó ní ki ẹ mú orukọ wa","Asàsi kii ran baby. E wi fun alawo yin to ni ki e mu orúkọ wa","non-sarcastic","X","original"
"5","Oṣólẹ̀ Twitter ti gbórí wọlé o, wọ́n ti ń bèèrè wípé kíni orúkọ wà àti orúkọ ìyá tó bí wa lọ́mọ","Osole Twitter ti gbori wole o, won ti n beere wipe kini oruko wa ati oruko iya to bi wa lomo","Oṣólè Twitter ti gbórí wọlé o, wọn ti n bèèrè wípé kini orukọ wà àti orúkọ iya to bí wa lọ́mọ","Osólẹ̀ Twitter ti gbórí wolé o, wón ti ń bèère wípe kíni orúko wà ati orukọ iya to bi wa lọ́mo","Osolẹ Twitter ti gbóri wọle o, wọn ti n beere wipe kini oruko wa ati orúko iya to bi wa lomo","sarcastic","X","original"
"6","Tí o bá ṣe ẹ̀ṣẹ̀ kan tí àwọn agbófinró sì ń wá ọ pẹ̀lú ẹ̀bùn tí a gbé lé ọ lórí, lọ kí o sì fi ara rẹ hàn ní àgọ́ ọlọ́pàá. Bó tilẹ̀ jẹ́ pé wọ́n lè fi ọ́ sẹ́wọ̀n, o lè gba ẹ̀bùn náà láti àgọ́ ọlọ́pàá.","Ti o ba se ese kan ti awon agbofinro si n wa o pelu ebun ti a gbe le o lori, lo ki o si fi ara re han ni ago olopaa. Bo tile je pe won le fi o sewon, o le gba ebun naa lati ago olopaa.","Tí o bá ṣe ẹ̀ṣẹ̀ kan ti àwọn agbófinró sì ń wá o pẹ̀lú ẹ̀bùn ti a gbé lé ọ lori, lọ kí o sì fi ara rẹ hàn ní ago olọ́paá. Bó tilè jẹ pé wón lè fi ó séwọn, o le gba ẹ̀bùn náà láti àgọ́ ọlọ́pàá.","Tí o ba se èṣẹ̀ kan ti awon agbofinro sì n wa ọ pẹlu ẹbun ti a gbé lé ọ lórí, lo ki o si fi ara rẹ hàn ní agọ́ ọlopaa. Bo tilẹ je pe wọn le fi ọ sẹwon, o le gba ebùn naà láti ago ọlọpàá.","Ti o bá ṣe ese kan ti awon agbófinro si n wa ọ pẹlu ebùn ti a gbe le o lori, lọ kí o si fi ara re hàn ní ago olópàa. Bó tilè je pe wọn lè fi o sewòn, o lè gba èbun naa lati agọ olọpàa.","sarcastic","Instagram","original"
"7","Wọ́n ní àwọn kàn fẹ́ lo ọgbọ́n àrékérekè fún wa ni, ni mo ba kí wọn wípé adúpẹ́ tí kò jù báyẹn lọ. Ìyẹn ṣí dára ju jíjàwá lólè lọ","Won ni awon kan fe lo ogbon arekereke fun wa ni, ni mo ba ki won wipe adupe ti ko ju bayen lo. Iyen si dara ju jijawa lole lo","Wọn ní awọn kàn fẹ́ lo ọgbọ́n arekérekè fún wa ni, ni mo ba kí wọn wípé adúpẹ́ tí ko ju bayẹn lọ. Iyen ṣí dára ju jíjàwa lole lo","Wón ni àwọn kàn fé lo ogbọ́n arekereke fún wa ni, ni mo ba ki wọn wipe adúpe tí ko jù bayẹn lọ. Ìyen ṣi dara ju jíjàwa lólè lọ","Wọn ni awon kan fe lo ogbon arekereke fun wa ni, ni mo ba kí wọn wipe adúpe ti kò jù bayen lo. Iyen si dara ju jijàwa lole lo","sarcastic","Facebook","original"
"8","A tọrọ owó lọwọ yín, ẹ sì ní kí a wáa gba nílé, èwo ló wáá fa ẹ̀wọ̀n?","A toro owo lowo yin, e si ni ki a waa gba nile, ewo lo waa fa ewon?","A tọrọ owó lowọ yín, ẹ sì ní kí a wáa gba nilé, èwo ló wáa fa ẹ̀wọn?","A toro owó lọwo yín, e sì ní kí a waa gba nile, èwo lo wáá fa ẹ̀won?","A torọ owo lọwo yin, ẹ si ni ki a wáa gba nile, ewo lo waa fa ẹ̀won?","non-sarcastic","Facebook","original"
"9","Ọmọ náà pupa bíi tááyà ọkọ","Omo naa pupa bii taaya oko","Ọmọ náà pupa bíi tááya ọkọ","Ọmọ náà pupa bii táayà ọkọ","Omo naà pupa bii taaya oko","sarcastic","Crowdsourcing","original"
"10","Ìwọ lo gbọ́n jù nínú gbogbo ọmọ tí ìyá rẹ bí, ọlọ́pọlọ ẹja","Iwo lo gbon ju ninu gbogbo omo ti iya re bi, olopolo eja","Ìwọ lo gbón jù ninú gbogbo omọ tí ìyá rẹ bí, ọlọpọlọ ẹja","Ìwo lo gbọn jù ninú gbogbo omo tí iyá rẹ bí, ọlọpolọ ẹja","Ìwo lo gbon jù nínu gbogbo omo ti ìya re bí, olọpolo eja","sarcastic","Crowdsourcing","original"
