Headline,Ground_Truth,Zero-shot_Prediction
watch your favorite musicians perform 'the hamilton mixtape' live,Non-Sarcastic,Non-Sarcastic
this 'secret life of pets' clip is a documentary about what your critter pals do all day,Non-Sarcastic,Sarcastic
first-time voter will always remember day he cast ballot for nick barborak,Sarcastic,Sarcastic
black father gives son the talk about holding literally any object,Sarcastic,Sarcastic
broadway veteran sets the record straight about 'hamilton',Non-Sarcastic,Non-Sarcastic
'finding dory' just keeps swimming past the box office competition,Non-Sarcastic,Sarcastic
study: human hearing most acute when listening to arguing parents from top of stairs,Sarcastic,Sarcastic
comic-con opens with traditional superhero flyover,Sarcastic,Sarcastic
obama under fire for playing t-ball during vietnam,Sarcastic,Sarcastic
mom posts photos from travel ban countries to show we're more alike than different,Non-Sarcastic,Non-Sarcastic
meghan markle's jeweler is making sure her engagement ring stays one of a kind,Non-Sarcastic,Non-Sarcastic
second-semester fling leads to first-trimester abortion,Sarcastic,Sarcastic
journalists push back on correspondents' association's response to michelle wolf,Non-Sarcastic,Non-Sarcastic
"following trump's lead, gop shifts from russia revelations to attack on leaks",Non-Sarcastic,Non-Sarcastic
justice department calls on ferguson to align level of institutional racism with rest of country,Sarcastic,Sarcastic
"2 killed, 4 injured in mishap at florida coal power plant",Non-Sarcastic,Non-Sarcastic
climate change and trump's board-game patriotism,Non-Sarcastic,Sarcastic
philadelphia museum of art erects statue of overweight tourist posing next to rocky statue,Sarcastic,Sarcastic
"broken windows, broken trust",Non-Sarcastic,Non-Sarcastic
mötley crüe signs sexual-harassment guarantee,Sarcastic,Sarcastic
man films killer tornado bearing down on him in shocking video,Non-Sarcastic,Non-Sarcastic
the skinny on sleep and your weight,Non-Sarcastic,Non-Sarcastic
the ocean's gentle giant,Non-Sarcastic,Non-Sarcastic
khloe kardashian will help the heartbroken get a 'revenge body' on new reality series,Non-Sarcastic,Non-Sarcastic
inside los angeles' first ever marijuana farmers' market,Non-Sarcastic,Non-Sarcastic
shingles sufferer sick of explaining what shingles is,Sarcastic,Sarcastic
6 new jersey newspapers call on christie to resign,Non-Sarcastic,Non-Sarcastic
world's richest lose $194 billion in first trading week of 2016,Non-Sarcastic,Non-Sarcastic
laughter now exclusively used to mask feelings,Sarcastic,Sarcastic
"vote, voter wasted",Sarcastic,Sarcastic
ask a queer chick: my mom says i'm claiming to be trans for 'attention',Non-Sarcastic,Non-Sarcastic
subway sandwich emits noxious honey mustard spray as defense against predators,Sarcastic,Sarcastic
"after one realizes methadone clinic nearby, behavior around city block makes sense",Sarcastic,Sarcastic
trump's evangelical advisors urged him to protect dreamers,Non-Sarcastic,Non-Sarcastic
local christian sees parallel to your situation in bible,Sarcastic,Sarcastic
cheney regrets buying bush laser pointer,Sarcastic,Sarcastic
trump announces paris climate deal rejection in front of 16 running faucets,Sarcastic,Sarcastic
ivanka trump's nordstrom sales reportedly dropped over 70 percent right before the election,Non-Sarcastic,Non-Sarcastic
man surprised to learn high school classmate became completely different type of fuckup,Sarcastic,Sarcastic
ryan reynolds reveals blake lively's perfect response to his birthday tweet,Non-Sarcastic,Non-Sarcastic
weekend roundup: victory in myanmar for democracy -- on a leash,Non-Sarcastic,Non-Sarcastic
how pop culture can change the way we talk about abortion,Non-Sarcastic,Non-Sarcastic
houston woman contracts flesh-eating bacterial infection from harvey floodwaters,Non-Sarcastic,Non-Sarcastic
personal assistant called after scary dream,Sarcastic,Sarcastic
judge failed to disclose donation from gop defendant in gerrymandering suit,Non-Sarcastic,Non-Sarcastic
house republicans are trying to tell the senate what to do with its filibuster,Non-Sarcastic,Non-Sarcastic
antonin scalia's death just cost this company $835 million,Non-Sarcastic,Non-Sarcastic
frustrated man doesn't know what else he can do to get cat purring,Sarcastic,Sarcastic
tampa sports teams donate money to help move confederate monument,Non-Sarcastic,Non-Sarcastic
area dad to spend next few days or so telling son it important to respect women,Sarcastic,Sarcastic
embarrassed snake can't believe documentary crew caught it whiffing while lunging at toad,Sarcastic,Sarcastic
officials unveil plan to convert underused senate chamber into storage facility,Sarcastic,Sarcastic
5 trips every bookworm should take,Non-Sarcastic,Non-Sarcastic
russell simmons leads 'i am a muslim too' rally in new york,Non-Sarcastic,Non-Sarcastic
hair salon's 'quiet chair' is a dream for haters of smalltalk,Non-Sarcastic,Non-Sarcastic
"5 extreme things the common core has done to children in the past 5 years, according to opponents",Non-Sarcastic,Non-Sarcastic
starlet-viewer age difference quickly calculated,Sarcastic,Sarcastic
"because we already miss 'veep,' here are some arrogant jonah lines that didn't make it into season 5",Non-Sarcastic,Non-Sarcastic
cop takes cinnamon bun into own hands,Sarcastic,Sarcastic
dnc chair debbie wasserman schultz is taking a ton of heat for helping payday lenders,Non-Sarcastic,Non-Sarcastic
nation's police officers now too heavily armed to go undercover convincingly,Sarcastic,Sarcastic
can machines really learn?,Non-Sarcastic,Non-Sarcastic
"woman longs for caress of boyfriend's dry, cracked, bleeding hands",Sarcastic,Sarcastic
u.s.–cuba relations end after obama hit by foul ball at exhibition baseball game,Sarcastic,Sarcastic
fish species not seen since 1960s thinks it can waltz back into marine biologist's life just like that,Sarcastic,Sarcastic
buy or rent? and where to park your down payment until you decide?,Non-Sarcastic,Non-Sarcastic
screwball jim nabors goofs up again by marrying man,Sarcastic,Sarcastic
is it wrong to outfox an airline at its own game?,Non-Sarcastic,Non-Sarcastic
popeye's home boiglerized,Sarcastic,Sarcastic
person who will embalm you walking around out there,Sarcastic,Sarcastic
historical archives: a salt cake recipe,Sarcastic,Non-Sarcastic
jogger clearly on first run of plan to turn life around,Sarcastic,Sarcastic
anderson cooper begins debate by giving trump opportunity to explain what the fuck is wrong with him,Sarcastic,Sarcastic
the first reviews of 'mockingjay' are here,Non-Sarcastic,Non-Sarcastic
former chinese dissident has your order ready,Sarcastic,Sarcastic
rapper french montana launches campaign to help dreamers go to college,Non-Sarcastic,Non-Sarcastic
city planner gets halfway through designing city before realizing he's just doing philadelphia again,Sarcastic,Sarcastic
tenants forced to clean apartment before telling landlord about mice,Sarcastic,Sarcastic
a st. paddy's day green juice crawl is a thing that exists,Non-Sarcastic,Sarcastic
activist artist dread scott on why we need a revolution,Non-Sarcastic,Non-Sarcastic
black or white? let's talk about gray,Non-Sarcastic,Non-Sarcastic
gop leaders' daughters: 'it's pretty fucked up if we're the only reason you're denouncing trump's statements',Sarcastic,Sarcastic
